INFO 2024-10-09 01:41:45,516 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-09 01:41:45,517 autoreload Waiting for apps ready_event.
DEBUG 2024-10-09 01:41:45,518 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-09 01:41:45,646 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-09 01:41:45,646 autoreload Watching dir /Users/dax/Documents/ai/backend/locale with glob **/*.mo.
DEBUG 2024-10-09 01:41:45,646 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-09 01:41:45,646 autoreload Watching dir /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-10-09 01:41:45,646 autoreload Watching dir /Users/dax/Documents/ai/backend/smartours/locale with glob **/*.mo.
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/_distutils_hack/__init__.py first seen with mtime 1709434105.97865
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/timesince.py first seen with mtime 1727147042.7321045
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/auth/signals.py first seen with mtime 1727147042.4566684
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/mime/nonmultipart.py first seen with mtime 1707257426.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/parse.py first seen with mtime 1707257427.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/resources/_legacy.py first seen with mtime 1707257427.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/template/loader.py first seen with mtime 1727147042.725645
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/context.py first seen with mtime 1707257427.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/exceptions.py first seen with mtime 1727147043.3293555
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/dataclasses.py first seen with mtime 1707257426.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/contrib/sessions/models.py first seen with mtime 1727147042.640526
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/sqlparse/lexer.py first seen with mtime 1727147042.2577431
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_bz2.cpython-312-darwin.so first seen with mtime 1707257698.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py first seen with mtime 1727147042.7291682
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/sql/query.py first seen with mtime 1727147042.7155845
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/urls/base.py first seen with mtime 1727147042.7284272
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/backends/sqlite3/base.py first seen with mtime 1727147042.707367
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/_header_value_parser.py first seen with mtime 1707257426.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1727147042.7158074
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/rest_framework/utils/json.py first seen with mtime 1727147043.3633285
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/urls/utils.py first seen with mtime 1727147042.7287812
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pygments/filters/__init__.py first seen with mtime 1709545916.7641053
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/models/utils.py first seen with mtime 1727147042.712493
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1727147042.7170527
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/sqlite3/__init__.py first seen with mtime 1707257427.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1727147042.7168708
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_sysconfigdata__darwin_darwin.py first seen with mtime 1707257452.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/utils.py first seen with mtime 1709545917.6112745
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_struct.cpython-312-darwin.so first seen with mtime 1707257701.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tokenize.py first seen with mtime 1707257426.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/fcntl.cpython-312-darwin.so first seen with mtime 1707257703.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/reprlib.py first seen with mtime 1707257426.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/datastructures.py first seen with mtime 1727147042.7295897
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/resources/_common.py first seen with mtime 1707257427.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/core/files/utils.py first seen with mtime 1727147042.6968524
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/uritemplate/variable.py first seen with mtime 1715507969.8137503
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/views/generic/base.py first seen with mtime 1727147042.7343564
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/sqlparse/filters/others.py first seen with mtime 1727147042.2590103
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/deconstruct.py first seen with mtime 1727147042.7299492
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/base_subprocess.py first seen with mtime 1707257426.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/resources/_adapters.py first seen with mtime 1707257427.0
DEBUG 2024-10-09 01:41:45,666 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/db/migrations/utils.py first seen with mtime 1727147042.7091331
